"0","1968.5596523492418","0","1","2"
"1","1857.504245464891","2","2","2"
"2","1686.8998498124388","2","2","2"
"3","1504.6838013223999","2","2","2"
"4","1342.3325752581509","2","2","2"
"5","1192.4688420186667","2","2","2"
"6","1046.8637139540037","2","2","2"
"7","896.9919079116047","2","2","2"
"8","734.55022334884734","2","2","2"
"9","551.3247973613029","2","2","2"
"10","377.78068506237275","2","2","2"
"11","265.24323155585739","1","1","1"
"12","192.10220676824446","1","1","1"
"13","107.69081950522416","1","1","1"
"14","82.789169075774552","1","1","1"
"15","109.56586437241134","0","0","0"
"16","126.31268889935654","0","0","0"
"17","130.57196061322301","0","0","0"
"18","130.57196061322301","0","0","0"
"19","134.83123232708945","0","0","0"
"20","153.50776627458919","1","1","1"
"21","181.33581014350398","1","1","1"
"22","158.29523872436963","1","1","1"
"23","75.000000000000028","1","1","1"
