insert into laboratorio values (1, 'Ortiz Inc', '206 715 225', '229 983 877', 'nfishpond0@xinhuanet.com', '721', 'Bowman', null, 'Butwāl', null, 'Nepal');
insert into laboratorio values (2, 'Zulauf-Jacobs', '212 289 962', '245 636 098', 'hbreffit1@businessweek.com', '291', 'Mallard', null, 'Xinying', null, 'Taiwan');
insert into laboratorio values (3, 'Bosco-Zieme', '200 161 539', '272 993 800', 'wlanfare2@nymag.com', '712', 'Tony', null, 'Teslić', null, 'Bosnia and Herzegovina');
insert into laboratorio values (4, 'Wehner-O''Keefe', '296 475 070', '201 521 693', 'kkinton3@bing.com', '364', 'Arrowood', '309296', 'Shebekino', null, 'Russia');
insert into laboratorio values (5, 'Koelpin-Ryan', '212 035 661', '234 223 833', 'hmales4@guardian.co.uk', '746', 'Aberg', 'M4H', 'Burns Lake', 'British Columbia', 'Canada');
insert into laboratorio values (6, 'Bechtelar Inc', '223 828 067', '211 552 414', 'rcosgrove5@yale.edu', '063', 'Memorial', null, 'Pakong', null, 'Indonesia');
insert into laboratorio values (7, 'Cronin, Hirthe and Dicki', '268 033 920', '290 727 985', 'sdahl6@cnet.com', '638', 'Mitchell', '75934 CEDEX 19', 'Paris 19', 'Île-de-France', 'France');
insert into laboratorio values (8, 'Conroy, Walter and Doyle', '275 829 896', '215 121 341', 'udoone7@dedecms.com', '822', 'Twin Pines', null, 'Nangkapayung', null, 'Indonesia');
insert into laboratorio values (9, 'Bogan and Sons', '209 440 136', '202 047 110', 'snussey8@nps.gov', '052', 'Vidon', '5207', 'Maluanluan', null, 'Philippines');
insert into laboratorio values (10, 'O''Conner-Padberg', '273 415 678', '281 284 954', 'ldeeman9@wunderground.com', '685', 'Bobwhite', null, 'Hongshi', null, 'China');
insert into laboratorio values (11, 'Hettinger, Littel and Hayes', '257 633 350', '238 411 535', 'gkrzyzaniaka@imgur.com', '670', 'Brickson Park', '754-0894', 'Sayama', null, 'Japan');
insert into laboratorio values (12, 'Miller, Leuschke and Kertzmann', '272 482 726', '230 076 991', 'jcossamb@admin.ch', '782', 'Sachtjen', '8893', 'Springbok', null, 'South Africa');
insert into laboratorio values (13, 'Kling LLC', '244 912 880', '281 440 145', 'lbaudouxc@house.gov', '453', 'Donald', '85271', 'Scottsdale', 'Arizona', 'United States');
insert into laboratorio values (14, 'Bartoletti, Mertz and Schuppe', '289 791 193', '280 741 808', 'kbenezetd@nhs.uk', '550', 'Maple', null, 'Xinxing', null, 'China');
insert into laboratorio values (15, 'Donnelly-Reichert', '284 638 227', '229 907 372', 'fhurdidgee@studiopress.com', '480', 'Porter', null, 'Youkounkoun', null, 'Guinea');
insert into laboratorio values (16, 'Barton-Bogisich', '261 912 253', '220 594 770', 'asantoraf@usgs.gov', '175', 'Prairie Rose', null, 'La Quebrada', null, 'Venezuela');
insert into laboratorio values (17, 'Roob, Schmitt and Walker', '222 673 025', '223 532 967', 'tridwoodg@purevolume.com', '778', 'Northland', '55130', 'Wang Nam Khiao', null, 'Thailand');
insert into laboratorio values (18, 'Ryan and Sons', '248 513 817', '258 422 187', 'bmowleh@salon.com', '769', 'Sage', null, 'Tulung', null, 'Indonesia');
insert into laboratorio values (19, 'Strosin LLC', '252 729 476', '288 766 624', 'ecorkei@merriam-webster.com', '878', 'Messerschmidt', null, 'Pingpo', null, 'China');
insert into laboratorio values (20, 'Ratke-Larson', '240 730 277', '256 754 630', 'kblancj@domainmarket.com', '993', 'Sugar', null, 'Gaoliban', null, 'China');
insert into laboratorio values (21, 'Ebert and Sons', '299 693 297', '222 932 691', 'vfullwoodk@time.com', '615', 'Chinook', '40340', 'Pueai Noi', null, 'Thailand');
insert into laboratorio values (22, 'Skiles Inc', '211 366 745', '260 155 859', 'athreadgouldl@furl.net', '498', 'Merry', null, 'Xincheng', null, 'China');
insert into laboratorio values (23, 'Brekke Inc', '201 272 572', '287 324 948', 'dchalmersm@epa.gov', '683', 'Maryland', '1711', 'Tapayan', null, 'Philippines');
insert into laboratorio values (24, 'McCullough-Lindgren', '279 719 031', '238 316 077', 'lbraniffn@dion.ne.jp', '717', 'Florence', '6328', 'Calape', null, 'Philippines');
insert into laboratorio values (25, 'Donnelly, Pfannerstill and Schaden', '233 629 980', '225 802 581', 'ggotcliffo@discovery.com', '720', 'Upham', null, 'Ampelókipoi', null, 'Greece');
insert into laboratorio values (26, 'Herzog Inc', '263 495 805', '242 429 566', 'rwillsp@networksolutions.com', '814', 'Dayton', '3109', 'Buliran Segundo', null, 'Philippines');
insert into laboratorio values (27, 'Torphy, Bartell and Mann', '221 163 904', '286 058 735', 'adahmkeq@oakley.com', '422', 'Linden', null, 'Bīleh Savār', null, 'Iran');
insert into laboratorio values (28, 'Satterfield Inc', '202 721 815', '297 526 929', 'gtockr@tinypic.com', '896', 'Dakota', '21110', 'Sakon Nakhon', null, 'Thailand');
insert into laboratorio values (29, 'Barton-Nienow', '229 183 280', '281 427 142', 'ljenickes@jiathis.com', '734', 'Eggendart', '249028', 'Skolkovo', null, 'Russia');
insert into laboratorio values (30, 'White-Armstrong', '201 207 893', '268 101 537', 'llubet@ed.gov', '248', 'Morning', '13330-000', 'Indaiatuba', null, 'Brazil');
insert into laboratorio values (31, 'MacGyver, Block and Schowalter', '270 947 438', '283 318 126', 'aklugmanu@sphinn.com', '629', 'Tony', null, 'Tân Hưng', null, 'Vietnam');
insert into laboratorio values (32, 'Koss, Kris and Russel', '237 920 407', '232 152 532', 'cwarwickv@storify.com', '117', 'Warbler', null, 'Arazane', null, 'Morocco');
insert into laboratorio values (33, 'Windler and Sons', '214 972 886', '233 107 660', 'nsinkinsw@hatena.ne.jp', '278', 'Harbort', null, 'Reshetylivka', null, 'Ukraine');
insert into laboratorio values (34, 'Hudson LLC', '231 630 795', '225 295 199', 'mjeavonx@livejournal.com', '581', 'Pond', null, 'Sumuran', null, 'Indonesia');
insert into laboratorio values (35, 'Boyle Group', '252 008 584', '224 324 705', 'gdaveleyy@sitemeter.com', '699', 'Corben', '3215', 'Trnovlje pri Celju', null, 'Slovenia');
insert into laboratorio values (36, 'Schroeder, Johnson and Powlowski', '218 052 330', '257 141 541', 'nmingetz@reference.com', '188', 'Mifflin', '33515 CEDEX', 'Libourne', 'Aquitaine', 'France');
insert into laboratorio values (37, 'Boyer Group', '229 582 926', '252 062 102', 'llarmuth10@hao123.com', '308', 'Fieldstone', null, 'Bāniyās', null, 'Syria');
insert into laboratorio values (38, 'Pagac-Tromp', '259 409 786', '282 635 435', 'bbretherick11@msu.edu', '434', 'Banding', null, 'Chengnan', null, 'China');
insert into laboratorio values (39, 'Schulist-Franecki', '298 875 181', '221 258 287', 'adairton12@umich.edu', '642', 'Golden Leaf', '1141', 'Masaling', null, 'Philippines');
insert into laboratorio values (40, 'Baumbach Inc', '283 838 732', '226 670 950', 'aalty13@forbes.com', '569', 'Waxwing', null, 'Lümeng', null, 'China');
insert into laboratorio values (41, 'Schimmel-Cruickshank', '216 436 939', '256 308 735', 'jlehmann14@engadget.com', '930', 'Judy', null, 'Antsiranana', null, 'Madagascar');
insert into laboratorio values (42, 'Baumbach and Sons', '205 999 013', '271 770 345', 'dbullin15@smh.com.au', '486', 'Elka', null, 'Siguiri', null, 'Guinea');
insert into laboratorio values (43, 'Schaden-Torphy', '277 580 848', '264 624 522', 'mwidger16@cmu.edu', '130', 'Arrowood', null, 'Duqiong', null, 'China');
insert into laboratorio values (44, 'Labadie, Heidenreich and Pagac', '218 127 892', '254 565 436', 'grounsivall17@princeton.edu', '611', 'Bellgrove', '2710-257', 'Janas', 'Lisboa', 'Portugal');
insert into laboratorio values (45, 'Schaden LLC', '211 352 336', '246 070 165', 'bprattin18@oaic.gov.au', '513', 'Scofield', null, 'Ngawi', null, 'Indonesia');
insert into laboratorio values (46, 'Krajcik, Armstrong and Graham', '228 548 312', '252 726 028', 'gconboy19@washingtonpost.com', '936', 'Menomonie', null, 'Kertosari', null, 'Indonesia');
insert into laboratorio values (47, 'Jaskolski, Brakus and Frami', '242 127 465', '252 674 943', 'obollam1a@yelp.com', '796', 'Hudson', null, 'Changlin', null, 'China');
insert into laboratorio values (48, 'Dach LLC', '214 863 080', '291 545 089', 'mmckinna1b@ucoz.ru', '199', 'Mockingbird', '25110', 'Kabin Buri', null, 'Thailand');
insert into laboratorio values (49, 'Harber, Feest and Krajcik', '228 101 300', '216 765 343', 'gdecarlo1c@nih.gov', '136', 'Clemons', null, 'Jindong', null, 'China');
insert into laboratorio values (50, 'Thiel-Kling', '209 333 861', '235 472 080', 'mcrees1d@reference.com', '655', 'Kenwood', null, 'At-Bashi', null, 'Kyrgyzstan');
insert into laboratorio values (51, 'Pagac Group', '243 685 094', '246 980 192', 'hbrellin1e@youtu.be', '792', 'Comanche', '51950', 'San Sebastian', 'Mexico', 'Mexico');
insert into laboratorio values (52, 'Pfannerstill Inc', '229 544 204', '209 911 499', 'sshouler1f@mail.ru', '258', 'Mayer', null, 'Lüyang', null, 'China');
insert into laboratorio values (53, 'Bradtke, Auer and Schroeder', '232 154 307', '219 023 582', 'martist1g@dailymail.co.uk', '355', 'Messerschmidt', null, 'Píritu', null, 'Venezuela');
insert into laboratorio values (54, 'Kshlerin-Herzog', '221 191 390', '292 215 129', 'ksmails1h@netlog.com', '784', 'Fulton', '64100-000', 'Barras', null, 'Brazil');
insert into laboratorio values (55, 'Satterfield LLC', '210 883 677', '240 172 739', 'anock1i@princeton.edu', '009', 'Golf', '3400', 'Corrientes', null, 'Argentina');
insert into laboratorio values (56, 'Hilll, Champlin and Steuber', '256 680 908', '238 860 997', 'bkennington1j@archive.org', '239', 'Dixon', null, 'Kpalimé', null, 'Togo');
insert into laboratorio values (57, 'Daugherty, Schmitt and Rice', '282 775 256', '283 649 267', 'jcoode1k@hud.gov', '694', 'Blackbird', '3515-626', 'Silgueiros', 'Viseu', 'Portugal');
insert into laboratorio values (58, 'Nader-Fisher', '202 444 013', '256 342 073', 'ghargroves1l@berkeley.edu', '437', 'Ludington', '79800-000', 'Dourados', null, 'Brazil');
insert into laboratorio values (59, 'Ankunding LLC', '213 933 329', '253 524 994', 'tmainwaring1m@constantcontact.com', '516', 'Namekagon', '8424', 'Burgos', null, 'Philippines');
