"0","Segunda e Terça","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"1","Quarta e Quinta","Não","3 dias","Não","5 dias","Suficiente","Encaminhada"
"2","Quarta e Quinta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"3","Quarta e Quinta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"4","Quarta e Quinta","Sim","3 dias","Não","3 dias","Em falta","Encaminhada"
"5","Terça e Quarta","Sim","Imediata","Sim","3 dias","Suficiente","Encaminhada"
"6","Quinta e Sexta","Não","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"7","Quarta e Quinta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"8","Terça e Quarta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"9","Segunda e Terça","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"10","Segunda e Terça","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"11","Quinta e Sexta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"12","Quarta e Quinta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"13","Segunda e Terça","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"14","Segunda e Terça","Não","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"15","Terça e Quarta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"16","Segunda e Terça","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"17","Segunda e Terça","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"18","Quarta e Quinta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"19","Segunda e Terça","Não","3 dias","Não","3 dias","Suficiente","Extraviada"
"20","Quinta e Sexta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"21","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"22","Terça e Quarta","Não","3 dias","Sim","5 dias","Suficiente","Encaminhada"
"23","Segunda e Terça","Sim","3 dias","Sim","3 dias","Suficiente","Encaminhada"
"24","Segunda e Terça","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"25","Quarta e Quinta","Não","3 dias","Sim","3 dias","Suficiente","Encaminhada"
"26","Terça e Quarta","Não","3 dias","Sim","5 dias","Suficiente","Encaminhada"
"27","Terça e Quarta","Sim","3 dias","Não","3 dias","Em falta","Encaminhada"
"28","Terça e Quarta","Não","Imediata","Não","Imediata","Em falta","Encaminhada"
"29","Terça e Quarta","Sim","Imediata","Não","Imediata","Em falta","Encaminhada"
"30","Quinta e Sexta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"31","Quarta e Quinta","Sim","Imediata","Não","Imediata","Em falta","Encaminhada"
"32","Terça e Quarta","Sim","3 dias","Sim","3 dias","Suficiente","Encaminhada"
"33","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"34","Quarta e Quinta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"35","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"36","Quinta e Sexta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"37","Quinta e Sexta","Não","Imediata","Não","3 dias","Suficiente","Encaminhada"
"38","Quarta e Quinta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"39","Quinta e Sexta","Sim","Imediata","Não","3 dias","Suficiente","Encaminhada"
"40","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"41","Terça e Quarta","Não","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"42","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"43","Quarta e Quinta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"44","Quinta e Sexta","Sim","3 dias","Sim","5 dias","Suficiente","Encaminhada"
"45","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"46","Quinta e Sexta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"47","Quarta e Quinta","Não","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"48","Quarta e Quinta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"49","Terça e Quarta","Sim","Imediata","Não","Imediata","Em falta","Encaminhada"
"50","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"51","Quarta e Quinta","Sim","Imediata","Não","Imediata","Em falta","Encaminhada"
"52","Terça e Quarta","Sim","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"53","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"54","Terça e Quarta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"55","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"56","Segunda e Terça","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"57","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"58","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"59","Quinta e Sexta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"60","Segunda e Terça","Sim","3 dias","Não","5 dias","Suficiente","Encaminhada"
"61","Quinta e Sexta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"62","Segunda e Terça","Sim","3 dias","Não","3 dias","Em falta","Encaminhada"
"63","Quarta e Quinta","Sim","Imediata","Não","Imediata","Suficiente","Extraviada"
"64","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"65","Terça e Quarta","Sim","Imediata","Sim","Imediata","Em falta","Encaminhada"
"66","Quinta e Sexta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"67","Terça e Quarta","Não","Imediata","Não","3 dias","Suficiente","Encaminhada"
"68","Quinta e Sexta","Não","3 dias","Não","3 dias","Em falta","Encaminhada"
"69","Terça e Quarta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"70","Quarta e Quinta","Sim","Imediata","Sim","Imediata","Em falta","Encaminhada"
"71","Segunda e Terça","Sim","Imediata","Não","3 dias","Suficiente","Encaminhada"
"72","Quarta e Quinta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"73","Terça e Quarta","Sim","3 dias","Sim","5 dias","Suficiente","Encaminhada"
"74","Segunda e Terça","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"75","Quinta e Sexta","Não","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"76","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"77","Quinta e Sexta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"78","Segunda e Terça","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"79","Quarta e Quinta","Sim","3 dias","Sim","5 dias","Suficiente","Encaminhada"
"80","Terça e Quarta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"81","Segunda e Terça","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"82","Quinta e Sexta","Sim","3 dias","Não","3 dias","Em falta","Encaminhada"
"83","Segunda e Terça","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"84","Quarta e Quinta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"85","Quarta e Quinta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"86","Terça e Quarta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"87","Quinta e Sexta","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"88","Terça e Quarta","Sim","3 dias","Sim","3 dias","Suficiente","Encaminhada"
"89","Quarta e Quinta","Não","Imediata","Não","Imediata","Suficiente","Extraviada"
"90","Quarta e Quinta","Sim","Imediata","Não","3 dias","Suficiente","Encaminhada"
"91","Terça e Quarta","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"92","Quinta e Sexta","Não","Imediata","Não","Imediata","Em falta","Encaminhada"
"93","Terça e Quarta","Sim","3 dias","Não","3 dias","Suficiente","Encaminhada"
"94","Quinta e Sexta","Sim","3 dias","Sim","3 dias","Suficiente","Encaminhada"
"95","Quarta e Quinta","Sim","Imediata","Sim","Imediata","Suficiente","Encaminhada"
"96","Segunda e Terça","Não","Imediata","Não","Imediata","Suficiente","Encaminhada"
"97","Quinta e Sexta","Sim","Imediata","Não","Imediata","Em falta","Encaminhada"
"98","Segunda e Terça","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"99","Segunda e Terça","Não","3 dias","Não","3 dias","Suficiente","Encaminhada"
"100","Quinta e Sexta","Sim","Imediata","Não","Imediata","Suficiente","Encaminhada"
"101","Segunda e Terça","Sim","Imediata","Não","3 dias","Suficiente","Encaminhada"
